path,label,loaded,face_detected,fallback_used,x,y,w,h,face_area_ratio,crop_width,crop_height,crop_area_ratio,crop_aspect_ratio
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00000.jpg,real,True,True,False,39,51,172,172,0.4514,240,239,0.8752,1.0042
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00010.jpg,real,True,True,False,44,54,170,170,0.441,238,236,0.8571,1.0085
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00023.jpg,real,True,True,False,32,46,192,192,0.5625,256,248,0.9688,1.0323
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00033.jpg,real,True,True,False,44,57,168,168,0.4307,234,232,0.8284,1.0086
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00034.jpg,real,True,True,False,36,45,188,188,0.5393,256,248,0.9688,1.0323
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00051.jpg,real,True,True,False,42,48,189,189,0.5451,251,245,0.9383,1.0245
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00097.jpg,real,True,True,False,43,59,172,172,0.4514,240,231,0.8459,1.039
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00114.jpg,real,True,True,False,46,62,155,155,0.3666,217,217,0.7185,1.0
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00122.jpg,real,True,True,False,45,57,167,167,0.4256,233,232,0.8248,1.0043
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00138.jpg,real,True,True,False,45,68,163,163,0.4054,227,220,0.762,1.0318
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00140.jpg,real,True,True,False,38,53,185,185,0.5222,255,240,0.9338,1.0625
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00146.jpg,real,True,True,False,39,51,186,186,0.5279,254,242,0.9379,1.0496
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00155.jpg,real,True,True,False,35,43,189,189,0.5451,256,250,0.9766,1.024
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00174.jpg,real,True,True,False,37,50,182,182,0.5054,254,242,0.9379,1.0496
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00204.jpg,real,True,True,False,40,52,181,181,0.4999,252,240,0.9229,1.05
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00214.jpg,real,True,True,False,53,64,155,155,0.3666,217,217,0.7185,1.0
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00223.jpg,real,True,True,False,48,58,165,165,0.4154,231,231,0.8142,1.0
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00230.jpg,real,True,True,False,49,50,170,170,0.441,238,238,0.8643,1.0
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00259.jpg,real,True,True,False,41,54,176,176,0.4727,246,237,0.8896,1.038
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00268.jpg,real,True,True,False,47,61,156,156,0.3713,218,218,0.7252,1.0
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00283.jpg,real,True,True,False,20,29,215,215,0.7053,256,256,1.0,1.0
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00294.jpg,real,True,True,False,39,53,174,174,0.462,242,237,0.8752,1.0211
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00296.jpg,real,True,True,False,37,48,183,183,0.511,255,244,0.9494,1.0451
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00309.jpg,real,True,True,False,46,61,170,170,0.441,238,229,0.8316,1.0393
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00328.jpg,real,True,True,False,40,54,175,175,0.4673,245,237,0.886,1.0338
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00347.jpg,real,True,True,False,40,50,174,174,0.462,242,240,0.8862,1.0083
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00374.jpg,real,True,False,True,,,,,,,,,
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00376.jpg,real,True,True,False,22,35,210,210,0.6729,256,256,1.0,1.0
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00391.jpg,real,True,True,False,48,58,166,166,0.4205,232,231,0.8177,1.0043
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00396.jpg,real,True,True,False,39,53,174,174,0.462,242,237,0.8752,1.0211
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00404.jpg,real,True,True,False,44,60,168,168,0.4307,234,229,0.8177,1.0218
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00411.jpg,real,True,True,False,46,60,165,165,0.4154,231,229,0.8072,1.0087
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00427.jpg,real,True,True,False,42,50,181,181,0.4999,250,242,0.9232,1.0331
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00429.jpg,real,True,True,False,42,52,174,174,0.462,242,238,0.8788,1.0168
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00453.jpg,real,True,False,True,,,,,,,,,
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00466.jpg,real,True,True,False,32,37,192,192,0.5625,256,256,1.0,1.0
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00475.jpg,real,True,True,False,40,59,172,172,0.4514,240,231,0.8459,1.039
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00477.jpg,real,True,True,False,45,61,168,168,0.4307,234,228,0.8141,1.0263
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00483.jpg,real,True,True,False,43,49,175,175,0.4673,245,242,0.9047,1.0124
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00498.jpg,real,True,True,False,45,50,175,175,0.4673,245,241,0.901,1.0166
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00508.jpg,real,True,True,False,40,54,178,178,0.4835,248,237,0.8969,1.0464
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00520.jpg,real,True,True,False,52,62,158,158,0.3809,220,220,0.7385,1.0
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00530.jpg,real,True,True,False,44,63,167,167,0.4256,233,226,0.8035,1.031
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00535.jpg,real,True,True,False,46,62,156,156,0.3713,218,218,0.7252,1.0
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00541.jpg,real,True,True,False,54,60,160,160,0.3906,224,224,0.7656,1.0
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00550.jpg,real,True,True,False,42,53,173,173,0.4567,241,237,0.8715,1.0169
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00559.jpg,real,True,True,False,39,53,172,172,0.4514,240,237,0.8679,1.0127
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00561.jpg,real,True,True,False,58,70,141,141,0.3034,197,197,0.5922,1.0
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00567.jpg,real,True,True,False,38,54,178,178,0.4835,248,237,0.8969,1.0464
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00569.jpg,real,True,True,False,39,53,179,179,0.4889,249,238,0.9043,1.0462
