path,label,loaded,face_detected,fallback_used,x,y,w,h,face_area_ratio
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00000.jpg,real,True,True,False,39,51,172,172,0.4514
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00010.jpg,real,True,True,False,44,54,170,170,0.441
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00023.jpg,real,True,True,False,32,46,192,192,0.5625
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00033.jpg,real,True,True,False,44,57,168,168,0.4307
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00034.jpg,real,True,True,False,36,45,188,188,0.5393
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00051.jpg,real,True,True,False,42,48,189,189,0.5451
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00097.jpg,real,True,True,False,43,59,172,172,0.4514
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00114.jpg,real,True,True,False,46,62,155,155,0.3666
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00122.jpg,real,True,True,False,45,57,167,167,0.4256
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00138.jpg,real,True,True,False,45,68,163,163,0.4054
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00140.jpg,real,True,True,False,38,53,185,185,0.5222
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00146.jpg,real,True,True,False,39,51,186,186,0.5279
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00155.jpg,real,True,True,False,35,43,189,189,0.5451
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00174.jpg,real,True,True,False,37,50,182,182,0.5054
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00204.jpg,real,True,True,False,40,52,181,181,0.4999
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00214.jpg,real,True,True,False,53,64,155,155,0.3666
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00223.jpg,real,True,True,False,48,58,165,165,0.4154
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00230.jpg,real,True,True,False,49,50,170,170,0.441
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00259.jpg,real,True,True,False,41,54,176,176,0.4727
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00268.jpg,real,True,True,False,47,61,156,156,0.3713
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00283.jpg,real,True,True,False,20,29,215,215,0.7053
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00294.jpg,real,True,True,False,39,53,174,174,0.462
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00296.jpg,real,True,True,False,37,48,183,183,0.511
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00309.jpg,real,True,True,False,46,61,170,170,0.441
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00328.jpg,real,True,True,False,40,54,175,175,0.4673
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00347.jpg,real,True,True,False,40,50,174,174,0.462
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00374.jpg,real,True,False,True,,,,,
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00376.jpg,real,True,True,False,22,35,210,210,0.6729
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00391.jpg,real,True,True,False,48,58,166,166,0.4205
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00396.jpg,real,True,True,False,39,53,174,174,0.462
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00404.jpg,real,True,True,False,44,60,168,168,0.4307
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00411.jpg,real,True,True,False,46,60,165,165,0.4154
